Ablesezeitpunkt;Zaehlerstand Einheitstarif;Zaehlerstand Hochtarif;Zaehlerstand Niedertarif;Verbrauch Einheitstarif;Verbrauch Hochtarif;Verbrauch Niedertarif
2023-01-01T00:00:00.000+01:00;298,731;0;0;327;0;0
2023-01-02T00:00:00.000+01:00;299,846;0;0;1115;0;0
2023-01-03T00:00:00.000+01:00;300,132;0;0;286;0;0
2023-01-04T00:00:00.000+01:00;300,962;0;0;830;0;0
2023-01-05T00:00:00.000+01:00;301,98;0;0;1018;0;0
2023-01-06T00:00:00.000+01:00;302,27;0;0;290;0;0
2023-01-07T00:00:00.000+01:00;302,544;0;0;274;0;0
2023-01-08T00:00:00.000+01:00;303,603;0;0;1059;0;0
2023-01-09T00:00:00.000+01:00;304,273;0;0;670;0;0
2023-01-10T00:00:00.000+01:00;304,546;0;0;273;0;0
2023-01-11T00:00:00.000+01:00;305,945;0;0;1399;0;0
2023-01-12T00:00:00.000+01:00;306,213;0;0;268;0;0
2023-01-13T00:00:00.000+01:00;306,894;0;0;681;0;0
2023-01-14T00:00:00.000+01:00;307,513;0;0;619;0;0
2023-01-15T00:00:00.000+01:00;308,671;0;0;1158;0;0
2023-01-16T00:00:00.000+01:00;308,931;0;0;260;0;0
2023-01-17T00:00:00.000+01:00;308,931;0;0;0;0;0
2023-01-18T00:00:00.000+01:00;309,21;0;0;279;0;0
2023-01-19T00:00:00.000+01:00;310;0;0;390;0;0
2023-01-20T00:00:00.000+01:00;310,566;0;0;966;0;0
2023-01-21T00:00:00.000+01:00;311,757;0;0;1191;0;0
2023-01-22T00:00:00.000+01:00;312,437;0;0;680;0;0
2023-01-23T00:00:00.000+01:00;313,015;0;0;578;0;0
2023-01-24T00:00:00.000+01:00;313,299;0;0;284;0;0
2023-01-25T00:00:00.000+01:00;313,594;0;0;295;0;0
2023-01-26T00:00:00.000+01:00;314,975;0;0;1381;0;0
2023-01-27T00:00:00.000+01:00;315,46;0;0;485;0;0
2023-01-28T00:00:00.000+01:00;316,215;0;0;755;0;0
2023-01-29T00:00:00.000+01:00;317,482;0;0;1267;0;0
2023-01-30T00:00:00.000+01:00;317,857;0;0;375;0;0
2023-01-31T00:00:00.000+01:00;318,58;0;0;723;0;0
2023-02-01T00:00:00.000+01:00;319,774;0;0;1194;0;0
2023-02-02T00:00:00.000+01:00;320,87;0;0;1096;0;0
2023-02-03T00:00:00.000+01:00;321,425;0;0;555;0;0
2023-02-04T00:00:00.000+01:00;322,486;0;0;1061;0;0
2023-02-05T00:00:00.000+01:00;323,343;0;0;857;0;0
2023-02-06T00:00:00.000+01:00;324,403;0;0;1060;0;0
